aammiinnnn,amin
abege,remaja
abiiis,habis
aduha,aduh
akak,ketawa
akherat,akhirat
akhiry,akhirnya
alas,alasan
alayy,alay
alhamdulillahhh,alhamdulillah
ampunnn,ampun
an,antv
andah,anda
anggep,anggap
angguunn,anggun
anyiennnnggg,anjing
apaoun,apapun
aplg,apalagi
aplod,upload
artisann,artis
asa,rasa
asaa,asa
at least,setidaknya
awat,rawat
awin,kawin
ayu,cantik
ayunee,cantik
ayuu,cantik
az,aja
babiii,babi
baguass,bagus
bahasami,bahasamu
balajaer,belajar
bangeg,sangat
banget,sangat
bangetsss,sangat
banggeett,sangat
batesnya,batas
becus,mampu
begimane,bagaimana
bego,bodoh
begoh,bego
belah,sebelah
belepotan,berantak
berfikiran,berpikir
berlimpaah,berlimpah
berrti,berarti
bersmaa,bersama
best,terbaik
bgts,banget
bikin,buat
bini,istri
blajarnya,belajar
blepot,lepot
bngat,banget
bodo,bodoh
brempuan,perempuan
brguna,berguna
brwibawah,berwibawa
buk,ibu
bully,rundung
buuuuuk,ibu
cantek,cantiik
capekmiskin,capek miskin
celebgram,selebgram
cewek,perempuan
cewex,cewek
ciiinnnnn,cin
cir,ciri
ciwik,cewek
comment,komen
cowok,laki laki
cowox,cowok
cpp,calon pengantin pria
cpw,calon penganti wanita
cra,cara
dampe,sampe
darar,dasar
dcekal,cekal
deh,udah
demenin,beneran
dengernyaa,dengar
des,desember
diemvang,di empang
dijambi,jambi
dioplas,operasi plastik
dpan,depan
duuuhhhh,aduh
dwngerin,dengar
edan,gila
edeuuuuuh,aduh
ellu,anda
elmu,ilmu
emak,ibu
enakk,enak
eneg,mual
enggk,engga
ente,anda
ertong,artis
famzz,keluarga
fan,penggemar
fansnya,penggemar
feb,februari
fikir,pikir
gaakan,tidak akan
gaet,kaget
gangerti,tidak mengerti
gapapala,gapapa
gateeeel,gatal
gateeel,gatal
gatel,gatal
gbu,tuhan memberkatimu
gek,engga
gemezzzzzzz,gemas
gentle,pria
get,banget
gilaaaaa,gila
gileee,gila
gimick,gimik
goblog,goblok
govlok,goblok
guatelnye,gatal
hadeww,aduh
hadewwwww,aduh
haduuh,aduh
hatters,pembenci
helooow,hai
heternya,pembenci
hitz,kini
hujad,hujat
humble,ramah
ibuk,ibu
ijasah,ijazah
international,internasional
iti,itu
itulohhh,itu loh
itungan,hitungan
jaer,mujair
jaman,zaman
jatohnya,jatuh
jempolllll,jempol
jongos,ucapan
jtan,jutaan
julids,julid
junjungannya,junjung
jwabnya,jawab
jwbnya,jawab
kaguminn,kagum
kalee,kali
kali,sekali
kaliam,kalian
kamfungan,kampung
kampyuung,kampung
kana,kanak
karo,sama
kayagni,seperti ini
kayak,seperti
kbanyakan,banyak
kbhagian,kebahagiaan
kbhgiaan,bahagia
kebel,beli
kegaet,kaget
kegatelan,gatal
keleusss,kelas
keluarr,keluar
kerdus,kardus
kereeeeeeeeeeeeeeennn,keren
kereeeennnnn,keren
ketulungan,tolong
kga,tidak
kgk,engga
khabis,habis
kidz,anak
kisss,kiss
kitenya,kita
kitu,itu
klepek,pesona
kluarnegri,keluar negeri
klwrga,keluarga
kreatip,kreatif
krja,kerja
ktakutan,ketakutan
lakikny,lakiknya
laku,lakukan
lambe,ucapan
lhatt,lihat
lho,loh
liaat,lihat
lonteeeee,pelacur
mabok,mabuk
mahluk,makhluk
malahn,malah
mampusin,mati
mampuss,mampus
manah,mana
mancappppp,mantap
manglingi,tidak dikenali
manusi,manusia
manusiaa,manusia
markotoppp,terbaik
masny,masnya
mcam,macam
mebangun,membangun
memalukab,malu
meni,menikah
menyan,kemenyan
menzolimi,mendzolimi
mewek,nangis
mihil,mahal
mikirrrr,pikir
min,admin
mingkem,diam
mmpertahankan,tahan
mnceraikan,cerai
mndptkan,dapat
mngalahin,kalah
mnyikapi,sikap
modar,mampus
moga,semoga
motorninja,motor ninja
mrinding,merinding
mrsk,rusak
mrugikan,rusak
mskipun,meskipun
msyarakat,masyarakat
muakk,muak
muantepp,mantap
mujaer,mujair
murahaan,murahan
mv,video musik
najiiisss,najis
najisss,najis
najong,najis
nan,nani
nelen,telan
ngamuk,marah
ngangeni,ngangenin
ngebor,lubang
ngefek,beri efek
ngegaji,gaji
ngena,kena
ngetop,terbaik
ngina,hina
ngjak,ajak
ngotorin,kotor
ngungkapin,ungkap
niw,sekarang
nlp,telfon
noraaak,norak
now,sekarang
nyamaann,nyaman
nyanyang,penyayang
nyinyiiir,nyinyir
nyinyiir,nyinyir
nyonyiah,nyonya
oranglain,orang lain
ornglain,orang lain
pacran,pacaran
palg,apalagi
pants,pantas
peak,bodoh
pecun,cundang
pecun,perempuan
pegangguran,pengangguran
pembawaanx,pembawaanya
pembntuny,pembantunya
pengin,ingin
pepuralugu,pura lugu
perek,murahan
perestasi,prestasi
perfectoooo,sempurna
perhati,perhatian
permpuan,perempuan
persil,persik
pesbu,pesbukers
pho,perusak hubungan orang
pidatox,pidatonya
plingbdpan,paling depan
pnah,panah
pnampilan,penampilan
pnh,pernah
pntas,pantas
pnyanyi,penyanyi
poll,banget
pra,para
president,presiden
prtahanin,pertahankan
puasin,puas
putib,putih
recommend,rekomendasi
rit,nikah
salahinnya,salah
salpok,salah fokus
salur,salut
salutt,salut
sbrpa,seberapa
sdh,sudah
sebenarnye,sebenarnya
sehhh,sih
sekaliii,sekali
sekalu,sekali
selladem,selalu adem
sellu,selalu
selpii,selfie
sembarangin,sembarangan
senyummm,senyum
seseorg,seseorang
sgala,segala
sgja,sengaja
shaaay,ya
sibapak,si bapak
sifatnyaaaaaaaaaaa,sifat
singgel,single
sinteron,sinetron
sirih,siri
sist,saudara perempuan
skul,sekolah
slain,selain
slgkuh,selingkuh
slingkuh,selingkuh
sllu,selalu
slnya,karena
smart,pandai
smiga,semoga
smnjk,semenjak
smpek,sampai
sosmed,sosial media
sosor,terjang
sptnya,sepertinya
srg,sering
sring,sering
strong,kuat
ststus,status
stu,situ
suaraaanyaa,suara
suaranyaaaaaaa,suara
suer,sumpah
sumpaah,sumpah
sumpel,sumbat
swett,sweet
syar,syari
sygnya,sayang
syudah,sudah
syurga,surga
t,tahun
tajirrr,tajir
tanggax,tangga
taro,taruh
teeeh,teh
telaah,telah
tente,tentu
terxta,ternyata
tibatiba,tiba tiba
tipical,tipikal
tnggung,tanggung
tolol,bodoh
trdpan,terdepan
trllu,terlalu
tuju,setuju
tulusss,tulus
ude,udah
udh,udah
unt,untuk
valakor,pelakor
vidio,video
waaaaoooo,wow
waaah,wah
wae,aja
wes,sudah
wey,woi
woyyyy,woi
yangg,yang
yea,iya
yess,iya
yesss,iya
yesssssss,iya
ygblain,yang lain
yra,ya rabbal alamin
pliss,tolong
syip,bagus
