,Id,Sentiment,Instagram Comment Text,clean_text
0,1,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,tolol hubung nya gugur pakai hijab syar i bilang bayi nya panas dalem hubung nya woyyyy otak jempol singkron sih iya tulis komentar 
1,2,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek tata cowok banget bela balik hadeww tinggal salah tuh cowok kitenya oon 
2,3,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kemarin mewek lengket duh labil banget sih mbak kaya abege kemarin cari sensasi biar top markotoppp ertong kualitas 
3,4,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",inti kesel att nya anak kasihan kembang psikis anak depan orang tolol anda anak anak katai orang benci asa benci batesnya nama manusia gaakan suka haters 
4,5,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan sakit jiwa peran utama film hantu jeruk purut khabis stok artis 
5,6,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan tinggal laki iya laki mikir kali perempuan kayagni urus becus urus anak anak bapake nya didik 
6,7,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",biasa balajaer sampah ig artis suka ig bikin caption balajaer heboh asik ceramahin ig bikin lagu kakak perempuan melly loh balajaer judul balajaer sabda seonggak koin laknat nya balajaer ngamuk iya banget koin laknat nya goda rt nya gigi aduh elah balajaer kali laku biduan minus nya bela mati an sakit jiwa 
7,8,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,rakyat indonesia bodoh beda buruk prilaku buruk sopan santun pilih panutan idola murah kelas ber etika 
8,9,negative,ayu janda bego pny suami kpn nikah laginya?,ayu janda bego suami nikah lagi 
9,10,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyiennnnggg suara hancur banget merdu tukang goreng 
10,11,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah agama islam cpp cpw saksi wali nikah mas kawin mahar perkara makeup manglingi syarat sah nikah makeup syarat penuh nikah sah ya emak emak julids 
11,12,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek tau rebut pacar orang abang dukung sifat jelek ck 
12,13,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,eh situ kids jaman now iya banyak micin ngina bego pelihara 
13,14,negative,Jijik liatnya suer deh minceeee,jijik lihat suer deh minceeee 
14,15,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",tabu cium iya bikin eneg citra nya sok alim sok sok bijak sok sok lai anda citra sok alim sok suci serius 
15,16,negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",cium orang sih malu kecuali mabok malu teman helooow teman libat cium bibir coba bayang sanggup cium bibir teman teman dasar laku kids jaman now bego banyak micin lho ya 
16,17,negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hidup mana musuh orang musuh 
17,18,negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",ah jaga ucap ucap jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin otak selangkang paham moga tuhan ampunin munafik cun 
18,19,negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",ya ampun upil naruto nya cermin pecun alam banget ya kasihan prihatin mati deh ngotorin dunia manusia 
19,20,negative,"Cuman jual goyangan yak, suara macam taik...",cuman jual goyang ya suara tahi 
20,21,negative,Kasian ih nyari uang sampe segitunya,kasihan ih cari uang begitu 
21,22,negative,anjir tontonan yg sangat tidak bermutu!,anjing tonton mutu 
22,23,negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",inul goyang ngebor baju ketat dcekal nya sgja goyang dada melulu suara sbrpa mrsk moral anak muda tonton bawa nafsu 
23,24,negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut kelas ya nonjolin suara nonjolin dada 
24,25,negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis homo orang kayak musnah muka bumi 
25,26,negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh orang akhlak bangeg asa kerja antem melulu musuh 
26,27,negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,si lonte sensasi ngjak ribut orang melulu sampah 
27,28,negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci dah nenek cucu now watching operasi mua top asli nya cantik 
28,29,negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,bagus mingkem hahahahahaha jahat 
29,30,negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,operasi plastik permak jelek pokok muka tegang banci sekian 
30,31,negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",lihat adik molen biarpun cowok cantik kayak cewek kayak banci wkwkwk 
31,32,negative,bencong rombeng.menjijikan!!!gay jg.,banci rombeng jijik gay 
32,33,negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",orang gila pengin hitz cari tenar rela penjara cari sensasi settingan beken hina orang astagfirullah kaya sih orang kayak mulut nya sampah sekolah iya 
33,34,negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok anjing cuihhh orang kayak koar orang ping kayak dunia orang orang kayak orang kayak malahn perilaku orang sederhana pamer kaya dunia akhirat mampus harta bawa mati pants buang laut orang aneh 
34,35,negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",cari sensasi tenar banya folowers nya kalee darar orang tres bicara belepotan kamfungan 
35,36,negative,ngomong aja belepotan banyak gaya lu bencong,bicara belepotan gaya banci 
36,37,negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,orang banyak makan tahi iya otak penuh tahi pikir positif bicara moral dasar kaum laknat banci anjing kbanyakan burit sih stres manusia jumpa anjing anjing ketemu tahi 
37,38,negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,sikat habis orang sial kayak pimpin negara hormatin mentang president sembarangin marah hina pimpin harap tindak hukum orang ini 
38,39,negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,jijik banget lihat tingkah sih upil mudah an cepat tidur 
39,40,negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",edan orang makan uang rakyat tidur 
40,41,negative,"Manusia laknat, matinya di apain ya",manusia laknat mati apa iya 
41,42,negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,sakit otak hati mah nurani urat malu pajak loh ngegaji orang gila hormat 
42,43,negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi bangsat pengin sumpel timah panas mulut biar modar 
43,44,negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,pengin sumpel timah panas mulut sih anak babi pesek buruk rupa 
44,45,negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,hai anak bangsat babi pesek buruk rupa keriting pengin penggal leher putus lumayan makan setia 
45,46,negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",ratu pelakor jagat raya mana lonte iya malu lonte tolong malu dikit 
46,47,negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,mah temu buah ranum buah busuk deh busuk manah mentok nya mah pelakor 
47,48,negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",ah manda mah gatel lihat cowok dikit langsung sosor bego manda kegatelan cewek 
48,49,negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",sih amanda muka tante umur muka boros banget dasar cabe jujur mah kgk suka haltis 
49,50,negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",astagah suka cewek dekil mel nagita turun att nagita kayak emas att kayak barlen 
50,51,negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,alah laki laki jaman bejat ustad gila banget perempuan istri tuju banget bilang ustazah masuk surga poligami akhlak masuk surga ya moga sih perempuan perempuan pelakor luar azab ampun hidup selamat dunia akhirat 
51,52,negative,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,gilaaaaa pelakor banget laki gatal alas poligam woiii mikir pakai otak aduh pikir orang pintar agama buruk allah uji setia nafsu eh kayak sakit istri tutup pintu rejekimu anak istri korban imam keluarga gagal mmpertahankan rumah tangga coreng nama nya orang suka benci 
52,53,negative,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>",biasa pelakor hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki orang iya gatel cocok wes 
53,54,negative,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",suka deh ertong caption ig story nya bicara orang melulu orang ambigu nilai sih a sih b sih sih kayak zholimi salahinnya lawan bicara status ah nya dewasa 
54,55,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",pikir manusia bodoh eh tante oma empo otak picik banget iya manusi larang dunia orang larang ngungkapin unek stupid human 
55,56,negative,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",heran deh katai sih via baperan iya wajar dese bawa asa udin muak orang munafik sok an dese kabar baperan laki orang sadar tuh puja att gotong royong nasihat att gila muja att mojokin viaa dese manusia kali ah 
